CODCON,NOMCON,ENDCON,BAICON,CIDADE,ESTADO,CEP,QTDE_UNIDADES,LAT,LNG
1,Al Mare,Avenida Saturnino Rangel Mauro 3518,Praia de Itaparica,VILA VELHA,ES,29102-036,88,-20.382998,-40.311888
2,Albino Luciani,Avenida Antonio Gil Veloso 340,Praia da Costa,VILA VELHA,ES,29101-011,26,-20.331945,-40.276957
3,Aldeia da Barra,Avenida Seringal 515,Ulisses Guimaraes,VILA VELHA,ES,29127-380,72,-20.4504327,-40.3530554
4,Antonio Carlos,Rua Di�genes Malacarne 200,Praia da Costa,VILA VELHA,ES,29101-210,36,-20.450433,-40.353055
5,Aquarela,Rua Luiz Fernandes dos Reis,Praia da Costa,VILA VELHA,ES,29101-120,72,-20.332299,-40.280301
6,Armando Negreiros,Avenida Estudante Jose Julio de Souza 2800,Praia de Itaparica,VILA VELHA,ES,29102-010,28,-20.371912,-40.303558
7,Associa��o Nobles,Rua Joseph Zogaib 20,Praia da Costa,VILA VELHA,ES,29101-270,36,-20.336163,-40.282972
8,Atlanta,Avenida Desembargador Augusto Botelho 928,Praia da Costa,VILA VELHA,ES,29101-110,16,-20.335157,-40.282174
9,Belvedere,Rua da Limeira 20,Itapu�,VILA VELHA,ES,29101-630,60,-20.347435,-40.293186
10,Bevilacqua,Avenida Henrique Moscoso 544,Praia da Costa,VILA VELHA,ES,29101-010,40,-20.335732,-40.286752
11,Caravellas,Rua Curitiba 794,Itapu�,VILA VELHA,ES,29102-569,56,-20.347365,-40.28851
12,Carlos Berger,Rua Henrique Laranja 264,Centro,VILA VELHA,ES,29100-350,25,-20.335158,-40.297137
13,Caterina da Vinci,Rua Humberto Serrano 201,Praia da Costa,VILA VELHA,ES,29101-460,48,-20.341976,-40.286711
14,Cedro do L�bano,Avenida Hugo Musso 929,Praia da Costa,VILA VELHA,ES,29101-785,36,-20.340965,-40.284169
15,Central Park,Rua Professor Augusto Rusch 285,Praia de Itaparica,VILA VELHA,ES,29102-080,60,-20.359398,-40.297812
16,Champagnat Ville,Rua Joseph Zgaib 250,Praia da Costa,VILA VELHA,ES,29101-270,30,-20.337473,-40.283152
17,Corais de Ubu,Rua Luiz Fernandes Reis 513,Praia da Costa,VILA VELHA,ES,29101-120,36,-20.333103,-40.280738
18,Costa do Atl�ntico,Rua Jo�o Joaquim da Mota 55,Praia da Costa,VILA VELHA,ES,29101-200,37,-20.330591,-40.277625
19,Costa Dourada,Rua Jo�o Joaquim da Mota 275,Praia da Costa,VILA VELHA,ES,29101-200,54,-20.329778,-40.279461
20,Debret,Rodovia do Sol 2950,Praia de Itaparica,VILA VELHA,ES,29102-020,70,-20.369092,-40.303298
21,Eco Itaparica,Av. Saturnino Rangel Mauro 3500,Praia de Itaparica,VILA VELHA,ES,29102-265,85,-20.382778,-40.311803
22,Ecolife da Vila,Avenida Transversal 72,Ataide,VILA VELHA,ES,29119-360,60,-20.34995,-40.325989
23,Enseada Azul,Rua Orminda Machado Duarte 315,Praia das Gaivotas,VILA VELHA,ES,29103-085,60,-20.376949,-40.315692
24,Enseada das Virtudes,Rua Ed�zio Cirne 200,Praia das Virtudes,GUARAPARI,ES,29200-000,21,-20.789002,-49.391901
25,Flamboyant,Rua Liberalino Lima 23,Jaburuna,VILA VELHA,ES,29100-535,10,-20.333046,-40.299105
26,Fontainebleau,Rua Santa Catarina 51,Itapu�,VILA VELHA,ES,29101-545,30,-20.346834,-40.284728
27,Gard�nia,Avenida Estudante Jos� J�lio de Souza 980,Praia de Itaparica,VILA VELHA,ES,29102-010,60,-20.357669,-40.29178
28,Grand Canal / Grand Canal Mall,Avenida Ant�nio Gil Veloso 646,Praia da Costa,VILA VELHA,ES,29101-012,125,-20.333371,-40.279474
29,Gravina,Rua Curitba 763,Itapu�,VILA VELHA,ES,29101-415,30,-20.353069,-40.289173
30,Ida Bachour,Rua Jo�o Joaquim da Mota 100,Praia da Costa,VILA VELHA,ES,29101-200,52,-20.330555,-40.27725
31,Igreja Presbiteriana,Rua S�o Paulo 1250,Praia da Costa,VILA VELHA,ES,29101-315,1,-20.338827,-40.284628
32,Ilha de Creta,Avenida Hugo Musso 1555,Itapu�,VILA VELHA,ES,29101-785,113,-20.349238,-40.285535
33,Infinity Blue (Silvana),Avenida Ant�nio Gil Veloso 1480,Praia da Costa,VILA VELHA,ES,29101-735,8,-20.340313,-40.283232
34,Infinity Center,Rua Const Sebasti�o Soares de Souza 40,Praia da Costa,VILA VELHA,ES,29101-350,119,-20.342927,-40.28943
35,Itaparica Exclusive,Rodovia do Sol 2820,Praia de Itaparica,VILA VELHA,ES,29102-020,104,-20.378083,-40.308105
36,Jadyr Martinelli,Rua S�o Paulo 2170,Itapu�,VILA VELHA,ES,29101-508,48,-20.34722,-40.286484
37,Lordello Colnago,Avenida Antonio Gil Veloso 2558,Itapu�,VILA VELHA,ES,29101-735,60,-20.349829,-40.284249
38,Lucas,Rua Vin�cius Torres 478,Praia da Costa,VILA VELHA,ES,29101-105,40,-20.337751,-40.287057
39,Lugano,Rua Curitiba 1760,Itapu�,VILA VELHA,ES,29101-420,70,-20.354435,-40.289755
40,Luiz Nogueira,Rua Desembargador Augusto Botelho 741,Praia da Costa,VILA VELHA,ES,29101-110,15,-20.33423,-40.280944
41,Malibu,Rua Inacio Higino 1248,Praia da Costa,VILA VELHA,ES,29101-435,72,-20.343904,-40.288746
42,Mar das Castanheiras,Rua Rio Branco 112,Praia da Costa,VILA VELHA,ES,29101-130,40,-20.331234,-40.28114
43,Marina Bay,Av. Antonio Gil Veloso 2780,Itapu�,VILA VELHA,ES,29101-738,62,-20.35207,-40.284109
44,Mea�pe,Rua Orminda Machado Duarte 240,Praia das Gaivotas,VILA VELHA,ES,29102-568,61,-20.376855,-40.314715
45,Meli�,Rodovia do Sol 2738,Praia de Itaparica,VILA VELHA,ES,29102-020,139,-20.37746,-40.307865
46,Millenium,Rua Castelo Branco 139,Praia da Costa,VILA VELHA,ES,29101-110,36,-20.334761,-40.28183
47,Mirador,Rua Jos� Pinto Vieira n� 111,Itapu�,VILA VELHA,ES,29101-609,78,-20.350352,-40.285487
48,Mirante da Vila,Rua Henrique Moscoso 711,Praia da Costa,VILA VELHA,ES,29100-290,72,-20.335987,-40.288877
49,Monte Moria,Rua Goiania 156,Itapu�,VILA VELHA,ES,29101-780,43,-20.349996,-40.285215
50,Monte Verde,Rua Curitiba 470,Itapu�,VILA VELHA,ES,29101-564,96,-20.350421,-40.289037
51,Ocean Blue,Avenida Estudante Jos� Julio de Souza 1270,Praia de Itaparica,VILA VELHA,ES,29102-010,12,-20.359451,-40.294403
52,Octavio Carrilho Bastos,Rua Ibitirama 75,Praia de Itaparica,VILA VELHA,ES,29102-130,62,-20.367409,-40.301563
53,Oliari,Rua da Limeira75,Itapu�,VILA VELHA,ES,29101-630,11,-20.347548,-40.292847
54,Palas Atenas,Avenida S�o Paulo 2380,Itapu�,VILA VELHA,ES,29101-502,24,-20.349429,-40.286681
55,Pallas Residence,Rua Humberto Serrano 500,Praia da Costa,VILA VELHA,ES,29101-462,56,-20.345103,-40.287142
56,Park Lane,Rua Rio Grande do Sul 296,Ponta da Fruta,VILA VELHA,ES,29129-145,20,-20.507414,-40.362416
57,Pomp�ia,Avenida da Praia  150 Lt. 14 Qd.08,Praia de Itaparica,VILA VELHA,ES,29102-010,35,-20.839382,-40.712534
58,Pontal do Mar,Rua Caja S/n,Ponta Da Fruta,VILA VELHA,ES,29129-105,30,-20.511385,-40.360518
59,Port Soleil,Rua S�o Benedito 82,Centro,GUARAPARI,ES,29200-300,120,-20.274818,-40.412892
60,Porto das Pedras,Rua Prof Telmo de Souza Torres 631,Praia da Costa,VILA VELHA,ES,29101-350,20,-20.338636,-40.288348
61,Prada,Rua Luiz Fernandes Reis 227,Praia da Costa,VILA VELHA,ES,29101-120,48,-20.331128,-40.278396
62,Praia Brava,Saturnino Rangel Mauro 470,Praia de Itaparica,VILA VELHA,ES,29102-032,56,-20.359089,-40.296943
63,Praia dos Padres,Alameda Frisia S/N,Enseada Azul,GUARAPARI,ES,29206-140,48,-20.733202,-40.53268
64,Quartieri di Italia,Rua Luiz Fernandes Reis 111,Praia da Costa,VILA VELHA,ES,29101-120,48,-20.331561,-40.279677
65,Red Tower,Rua Deolindo Perim 385,Praia de Itaparica,VILA VELHA,ES,29102-320,60,-20.356049,-40.294987
66,Reserva Itaparica,Rodovia do Sol 1980,Praia de Itaparica,VILA VELHA,ES,29102-020,228,-20.371438,-40.304603
67,Resid. Aribiri,Rua Emygdio Ferreira Sacramento 117,Ataide,VILA VELHA,ES,29119-030,160,-20.347926,-40.329903
68,Royal Beach,Avenida Hugo Musso 2000,Itapu�,VILA VELHA,ES,29101-782,83,-20.350569,-40.286043
69,Royal Blue Corporate,Rodovia do Sol 2070,Praia de Itaparica,VILA VELHA,ES,29102-020,126,-20.372233,-40.304924
70,Royal Palace,Rua Luiz Fernades Reis 301,Praia da Costa,VILA VELHA,ES,29101-120,32,-20.332393,-40.280247
71,Santa F�,Rua Resplendor 133,Itapu�,VILA VELHA,ES,29101-500,49,-20.348677,-40.285366
72,Santa Izabel,Rua Henrique Laranja 290,Centro,VILA VELHA,ES,29100-350,30,-20.335168,-40.297138
73,Santorini,Rua Corveta 295,S�o Conrado,VILA VELHA,ES,29100-001,20,-20.437662,-40.333436
74,S�o Conrado,Rua Sereia 310,S�o Conrado,VILA VELHA,ES,29124-090,28,-20.438195,-40.333424
75,Simonassi,Rua Itaguarana 24,Praia de Itaparica,VILA VELHA,ES,29102-060,30,-20.358443,-40.294011
76,SN Office Tower,Rua Const Sebasti�o Soares de Souza 70,Praia da Costa,VILA VELHA,ES,29101-350,111,-20.343156,-40.28943
77,Solar da Vila,Rua Angelo Ant�nio Fernandes 320,Ataide,VILA VELHA,ES,29119-055,380,-20.346388,-40.322503
78,Summer,Rua Di�genes Malacarne 260,Praia da Costa,VILA VELHA,ES,29101-210,40,-20.330881,-40.279747
79,Vale do Luar,Rod. Manoel Loyola 1500,Village do Sol,GUARAPARI,ES,29226-700,518,-20.553298,-40.414258
80,Vancouver,Rua Guanabara 1019,Itapu�,VILA VELHA,ES,29101-592,48,-20.349517,-40.287888
81,Varandas da Enseada,Alameda Ramires 66 ,Enseada Azul,GUARAPARI,ES,29206-150,12,-20.731217,-40.529338
82,Verdes Mares,Rua Humberto Serrano 520,Praia da Costa,VILA VELHA,ES,29101-460,72,-20.344865,-40.287521
83,Vernazza,Rodovia do Sol 2670,Praia de Itaparica,VILA VELHA,ES,29102-001,70,-20.376289,-40.307447
84,Vila D Ita,Av. Saturnino Rangel Mauro 3250,Praia de Itaparica,VILA VELHA,ES,29102-036,285,-20.38091,-40.310897
85,Vila Romana,Rua Candido das Neves 41,Ilha Dos Ayres,VILA VELHA,ES,29106-700,144,-20.339948,-40.298592
86,Village Marine,Av. Est. Jose Julio de Souza 710,Praia de Itaparica,VILA VELHA,ES,29101-825,48,-20.356293,-40.289091
87,Vivace,Rua Aquino Araujo 180,Praia da Costa,VILA VELHA,ES,29101-240,83,-20.332023,-40.282086
,,,,,,,5983,,
